split,train_rows,calibration_rows,test_rows,target,workload,high_workload_quantile,high_workload_threshold,test_auc,test_average_precision,test_brier,features,selector,selector_value,score_threshold,calibration_acceptance_rate,calibration_abstention_rate,calibration_high_workload_rate,calibration_accepted_high_workload_rate,calibration_high_workload_recall_by_abstention,calibration_abstention_precision_for_high_workload,calibration_mean_workload_accepted,calibration_mean_workload_abstained,calibration_workload_share_abstained,test_acceptance_rate,test_abstention_rate,test_high_workload_rate,test_accepted_high_workload_rate,test_high_workload_recall_by_abstention,test_abstention_precision_for_high_workload,test_mean_workload_accepted,test_mean_workload_abstained,test_workload_share_abstained,calibrated_acceptance_target,calibrated_accepted_high_rate
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8995792989798805,0.49320019774409574,0.11898227426162053,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",fixed_acceptance,0.2,0.09899261326094334,0.20002976633427594,0.7999702336657241,0.169816937044203,0.001488095238095238,0.9982471516213848,0.21190697674418604,0.09226190476190477,5.184186046511628,0.9955696880917503,0.2586309523809524,0.7413690476190476,0.14151785714285714,0.0034522439585730723,0.9936908517350158,0.18968285828984344,0.09378596087456847,4.374949819349659,0.9925770754588096,,
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8995792989798805,0.49320019774409574,0.11898227426162053,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",fixed_acceptance,0.4,0.128963143784732,0.4000595326685519,0.5999404673314481,0.169816937044203,0.0033482142857142855,0.9921121822962313,0.28082361696849417,0.14434523809523808,6.847184321508311,0.9861374111257994,0.5056547619047619,0.4943452380952381,0.14151785714285714,0.005002942907592701,0.982124079915878,0.2811559301625527,0.1353737492642731,6.471703792895846,0.9790518693929596,,
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8995792989798805,0.49320019774409574,0.11898227426162053,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",fixed_acceptance,0.6,0.28817344482758117,0.5999404673314481,0.4000595326685519,0.169816937044203,0.017117340610270405,0.9395267309377738,0.39880952380952384,0.49317787149590675,9.672991071428571,0.9289720961806424,0.6955357142857143,0.3044642857142857,0.14151785714285714,0.014976465554129225,0.9263932702418507,0.4305962854349951,0.3951647411210954,9.82991202346041,0.9158887016712965,,
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8995792989798805,0.49320019774409574,0.11898227426162053,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",fixed_acceptance,0.8,0.7413886438710803,0.7999702336657241,0.20002976633427594,0.169816937044203,0.08967441860465117,0.5775635407537248,0.49032738095238093,2.0593488372093023,12.589285714285714,0.6045232055450356,0.8233630952380953,0.17663690476190477,0.14151785714285714,0.06632929694559914,0.6140904311251314,0.4919966301600674,1.5302729080065065,11.366470092670598,0.6144177785873673,,
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8995792989798805,0.49320019774409574,0.11898227426162053,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.05,0.575615855198611,0.6907277868730466,0.3092722131269534,0.169816937044203,0.0499892264598147,0.796669588080631,0.4374398460057748,1.1148459383753502,10.979307025986525,0.8151416627960985,0.7516369047619048,0.24836309523809524,0.14151785714285714,0.035240546426450206,0.8128286014721346,0.463151587777112,0.797465848346862,10.743559017375674,0.8165672389453071,0.6907277868730466,0.0499892264598147
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8995792989798805,0.49320019774409574,0.11898227426162053,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7691995051295595,0.8276529245423426,0.1723470754576574,0.169816937044203,0.09998201762272972,0.5127081507449606,0.5051813471502591,2.3668404963136127,12.803972366148532,0.529743827932402,0.8418154761904761,0.1581845238095238,0.14151785714285714,0.07406752695775146,0.5594111461619348,0.5004703668861712,1.692593247304225,11.650047036688617,0.563960107473018,0.8276529245423426,0.09998201762272972
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8995792989798805,0.49320019774409574,0.11898227426162053,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.15,0.8857839156950617,0.9435927965471053,0.05640720345289477,0.169816937044203,0.15,0.16652059596844873,0.5013192612137203,3.649684542586751,12.796833773087071,0.17328236092750723,0.9522321428571429,0.04776785714285714,0.14151785714285714,0.12126894827316768,0.18401682439537329,0.5451713395638629,2.78543522425379,12.881619937694705,0.18830547839154788,0.9435927965471053,0.15
repository_disjoint,25652,4462,3482,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,1.791759469228055,0.7644283975055994,0.5406955935065365,0.24617205867529793,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",fixed_acceptance,0.2,0.26045425972083736,0.2001344688480502,0.7998655311519498,0.3922008068130883,0.0683090705487122,0.9651428571428572,0.47324180442701036,1.1802911534154534,8.002241524236481,0.9644087256027555,0.1961516369902355,0.8038483630097645,0.33228029867892017,0.040995607613469986,0.975799481417459,0.40335834226509465,0.9048316251830161,8.045016077170418,0.9732883817427386,,
repository_disjoint,25652,4462,3482,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,1.791759469228055,0.7644283975055994,0.5406955935065365,0.24617205867529793,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",fixed_acceptance,0.4,0.5111252204896929,0.40004482294935007,0.5999551770506499,0.3922008068130883,0.13277310924369748,0.8645714285714285,0.5651849084796414,2.212885154061625,9.586850952558834,0.8666171405416357,0.44658242389431363,0.5534175761056864,0.33228029867892017,0.1067524115755627,0.8565254969749352,0.5142708873897249,1.9794212218649518,10.408925791385574,0.8669605809128631,,
repository_disjoint,25652,4462,3482,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,1.791759469228055,0.7644283975055994,0.5406955935065365,0.24617205867529793,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",fixed_acceptance,0.6,0.8066048748078495,0.5999551770506499,0.40004482294935007,0.3922008068130883,0.23907358983937244,0.6342857142857142,0.6218487394957983,4.117669032499066,10.415126050420168,0.6277774025798609,0.6435956346927053,0.35640436530729463,0.33228029867892017,0.20838911200356983,0.5963699222126189,0.5560032232070911,3.859437751004016,11.67365028203062,0.6261670124481328,,
